Final comment	Valid answer(s)	CharacterId
It upsets Hubert when I spend time alone with you. I’ll refrain from telling him about this.	Nod, Laugh	Edelgard
If I hadn’t been born to House Hresvelg, I imagine life would have been much simpler.	Laugh, Praise	Edelgard
You’re much more meticulous than I would have guessed.	Nod, Disagree, Blush	Edelgard
A moment of relaxation… It has been a while. I find spending these quiet moments with you rather comforting.	Sip tea, Blush	Edelgard
Do you remember the day we met? You protected me from those bandits.	Nod, Blush	Edelgard
You’re always so calm.	Disagree, Sigh, Sip tea	Edelgard
One day, I’ll show you around the palace in Enbarr. It has a lovely garden.	Nod	Edelgard
Here I can take a break from the burden of being emperor. Perhaps that’s why I’m so comfortable with you.	Nod, Laugh, Blush	Edelgard
I have no intention of handing the Imperial throne over to any child I might have. Instead, I’ll choose an outsider who’s brilliant and kind.	Commend, Chat, Praise	Edelgard
While I am quite busy, this is not a waste of my time. I’m grateful for the opportunity to observe you.	Sigh, Sip tea	Hubert
The head of House Vestra has always been a minister to the emperor.	Commend, Praise	Hubert
Lady Edelgard has taken a liking to you. She will want to hear all about this.	Nod, Disagree	Hubert
Most who spend time around me seem to become bored and depressed. Heh. Can’t imagine why.	Disagree, Admonish, Praise	Hubert
Sometimes your insights are so keen they seem to border on precognition.	Disagree, Sip tea	Hubert
House Vestra is one of few noble houses not to lay claim to any territory.	Commend, Chat	Hubert
As a humble servant to Her Majesty, I sometimes envy the status she has given you.	Disagree, Chat, Praise	Hubert
For choosing to walk this path with Her Majesty, you have my eternal gratitude.	Nod, Blush	Hubert
Sometimes I like to imagine that you were sent to us by a rival of the goddess to bring her low.	Chat, Blush	Hubert
You have a way of making people feel comfortable. I almost cannot help telling you everything.	Disagree, Blush	Ferdinand
Since I was a child, I have loved riding horses and fighting. People used to tell me to act more like a noble.	Laugh, Commend	Ferdinand
You often hear stories of nobles and commoners in love. I am not against such things, but reality is not so simple.	Nod, Commend, Chat	Ferdinand
When I am unhappy, I try to bestow happiness upon others. Such is the way of the true noble.	Sigh, Chat, Praise	Ferdinand
You treat everyone the same, regardless of status. Perhaps I should do that as well.	Commend, Blush, Praise	Ferdinand
I am extremely versatile. In fact, I fear I am a jack-of-all-trades.	Laugh, Disagree, Praise	Ferdinand
I suppose the Sword of the Creator never goes dull, so you do not need to sharpen it.	Nod, Chat	Ferdinand
You will always remember me, will you not?	Sip tea, Blush	Ferdinand
Hmm. It can be good to relax now and then. Shall we play a game?	Nod, Laugh	Ferdinand
You are full of mysteries and yet offer no answers. How unfair.	Disagree, Chat	Linhardt
Being surrounded by all these Crest-bearers makes me want to better understand Crestology.	Nod, Praise	Linhardt
Crest versus nurture. Which causes a noble’s personality disorder? There’s a research project, eh?	Chat	Linhardt
I always feel as if I cannot keep up with other people. Everyone else seems to have a destination in mind.	Laugh, Praise	Linhardt
Please wake me if I fall asleep. I don’t wish to be a rude guest.	Admonish, Sip tea	Linhardt
They say the Crest’s power dwells in blood. So why does it have to be so disgusting?	Admonish, Chat	Linhardt
If I don’t become a scholar then perhaps librarian is the job for me.	Nod, Praise	Linhardt
You bear the legendary Crest of Flames. You simply must allow me to study it–please, Professor.	Commend	Linhardt
We should explore ways to utilize the power of Relics and Crests for something other than combat.	Nod, Commend, Chat	Linhardt
Hey, are you getting hungry?	Laugh, Sigh	Caspar
I’m gonna keep training until I can beat you!	Disagree, Blush	Caspar
I just wanna go wild and let it all out! Come on, Professor, send me out front in our next battle!	Admonish, Chat	Caspar
I usually don’t get hung up on things, but when I do, I feel stuck!	Praise	Caspar
What is justice really? I’m not so sure I know anymore…	Commend, Chat	Caspar
Who was that guy? You don’t know who I’m talking about? The suspicious guy who killed himself!	Nod, Chat	Caspar
They say hard work pays off, but I don’t think that’s always true. Either way, I’m gonna keep trying!	Commend, Praise	Caspar
I really love fighting alongside you. I can always count on your commands to get us through!	Nod, Laugh, Blush	Caspar
I’m always gonna do things my way. If there’s a wall blocking my path, I’ll punch a hole right through it!	Laugh, Commend, Praise	Caspar
My mother works in the Imperial capital. People there say she’s a genius.	Laugh, Commend	Bernadetta
